#战疫打卡行动#我已打卡4天，面对疫情我承诺：积极防疫，理性应对！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ ​
#心系武汉，共战疫情，万众一心，我在川工科为武汉加油!#   如约而至的不知春天，还有疫情过后平安的大家。🇨🇳@四川工业科技学院 ​
武汉市委主要负责同志职务调整 O网页链接 ​
#战疫打卡行动#我已打卡1天，面对疫情我承诺：宅在家，少出门！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ ​
#战疫打卡行动#我已打卡4天，面对疫情我承诺：相信科学，相信祖国！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ ​
#战疫打卡行动#我已打卡1天，面对疫情我承诺：出门戴口罩！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ ​
#战疫打卡行动#我已打卡3天，面对疫情我承诺：听从安排，配合查验！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ ​
#战疫打卡行动#我已打卡2天，面对疫情我承诺：相信科学，相信祖国！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ ​
//@多啦A萌拳击手://@蕾迷_无病息灾://@粽粽粽粽粽粽粽://@妖妖小精:🙏//@降夭除魔齐天大圣:辛苦了！//@夏正正:辛苦了//@江南大野花:感谢张女士的辛苦付出//@霸道大锤爱上我:太棒了//@Amortentiaz://@刺客棉条://@大Kay万万没想到:武汉真的缺酒精辛苦了
#逆行中的她们# 【女司机一个人开了一天一夜车，运31吨酒精到武汉】近日，40多岁的张女士独自驾驶大货车一天一夜，从四川成都运送31吨酒精到达武汉国际博览中心。刚下车的张女士戴着口罩，穿着一件黑色的短袖。面对现场工作人员的感谢，张女士摆手婉拒。张女士的坚强与善良，你看见了吗？L中国妇女报的微博视频 收起全文d
封城22天，看看武汉的样子，还有住院动物怎么样！ 微博直播 ​
#战疫打卡行动#我已打卡4天，面对疫情我承诺：不串门，不聚餐！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ ​
#战疫打卡行动#我已打卡1天，面对疫情我承诺：在家锻炼，提高免疫！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ ​
#战疫打卡行动#我已打卡1天，面对疫情我承诺：不串门，不聚餐！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ ​
#情人节练爱行动#疫情结束后，最想做的一件事就是，奔跑着去见最想见的人~！！！希望疫情快快过去，武汉加油，中国加油，期待春暖花开的日子，早一点到来！@JAYJUN捷俊
#情人节练爱行动#有人说，“恋爱”就是一场“练爱”的过程，可能要用一辈子的时间去练习。“2020 首场大型练爱虐狗活行动” 即将上演，疫情无情爱有情。【活动福利】JAYJUN捷俊颐六合太平礼盒*1JAYJUN捷俊颐和园樱花水*2【参与方式】参与话题#情人节练爱行动#，说出疫情后你最想为爱做的一件事或晒出你的爱情故事。小jay将揪3位郡主送出情人节礼物哦~【活动时间】2.10——2.14或许是一场暗恋已久的告白；或许是精心策划的一场求婚仪式；或许是奔跑着去见最想见的人...这些都是练爱的能量哦 O抽奖详情 收起全文d
#战疫打卡行动#我已打卡1天，面对疫情我承诺：听从安排，配合查验！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ ​
#战疫打卡行动#我已打卡3天，面对疫情我承诺：无病症不盲目使用药物！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ ​
#俄罗斯向武汉捐赠23吨医疗物资# 感谢 默默多次捐赠的物资
【#俄罗斯向武汉捐赠23吨医疗物资#】#战疫最前线# 为援助武汉抗击疫情，俄罗斯向武汉捐赠23吨医疗物资。2月8日，这批物资抵达俄罗斯茹科夫斯基国际机场。#俄罗斯捐赠23吨医疗物资#L小央视频的秒拍视频 ​
