word, freq
贾政,22
王夫人,17
贾母,13
林四娘,9
小丫头,8
凤姐,7
贾环,4
文武,3
贾兰,2
李长吉,2
西风,2
杜撰,1
尼姑,1
比人强,1
莫若,1
比晴雯,1
胡闹,1
尚小,1
从小儿,1
兰小子,1
薛妹妹,1
齐备,1
老婆子,1
梅翰林,1
杨侍郎,1
李员外,1
檀香,1
石青,1
山子石,1
宋妈,1
阎王,1
迟延,1
亦且,1
贾政正,1
王爵,1
诸姬,1
黄巾,1
乌合,1
王尚,1
贾政命,1
玉为,1
小哥儿,1
王德,1
寇仇,1
大阮,1
温八叉,1
白乐天,1
列阵,1
平叙,1
宝公,1
闻其香,1
习武,1
丁香,1
萧索,1
明珠,1
夜阑,1
雨淋,1
秦姬,1
马践,1
立朝纲,1
古人云,1
王公,1
达诚,1
金玉,1
喻其贵,1
喻其洁,1
喻其精,1
喻其色,1
荆棘,1
贞烈,1
玉冷,1
龙飞,1
兰芳,1
金斗,1
严命,1
慈威,1
石椁,1
蓬艾,1
萧萧,1
从宽,1
花宫,1
玉之思,1
权衡,1
于兹,1
卫危,1
闻馥,1
佩耶,1
闻耶,1
若夫,1
鸿蒙,1
桂岩,1
宓妃,1
岳之妃,1
洛浦之,1
龙吟,1
凤翥,1
玄圃,1
志哀,1
