Source,Target,Weight
林黛玉,黛玉,247
林黛玉,老太太,140
林黛玉,林姑娘,33
林黛玉,贾母,237
林黛玉,宝玉,1321
林黛玉,迎春,28
林黛玉,探春,42
林黛玉,惜春,21
林黛玉,宝钗,253
林黛玉,小丫头,15
林黛玉,言语,27
林黛玉,王夫人,170
林黛玉,凤姐,129
林黛玉,冷笑,42
林黛玉,薛姨妈,60
林黛玉,贾政,14
林黛玉,宝钗笑,49
林黛玉,明白,64
林黛玉,紫鹃,86
林黛玉,贾母笑,16
林黛玉,凤姐儿,52
林黛玉,雪雁,14
林黛玉,和尚,31
林黛玉,宝琴,23
贾琏,宝玉,564
贾琏,黛玉,45
贾琏,贾母笑,23
贾琏,贾母,561
贾琏,林姑娘,18
贾琏,薛蟠,46
贾琏,贾政,281
贾琏,贾珍,473
贾琏,王夫人,533
贾琏,薛姨妈,123
贾琏,周瑞家,66
贾琏,小丫头,188
贾琏,老太太,743
贾琏,凤姐,1285
贾琏,凤姐儿,191
贾琏,明白,135
贾琏,贾蓉,539
贾琏,林之孝,234
贾琏,邢夫人,147
贾琏,宝钗,131
贾琏,尤氏,112
贾琏,贾环,21
贾琏,冷笑,44
贾琏,和尚,185
贾琏,贾芸,73
贾琏,赵姨娘,13
贾琏,老婆子,141
贾琏,宝琴,13
贾琏,言语,176
贾琏,贾政道,129
贾琏,惜春,14
贾琏,探春,26
贾琏,紫鹃,36
贾琏,金桂,10
宝玉,贾琏,564
宝玉,贾珍,223
宝玉,贾蓉,116
宝玉,贾政,1250
宝玉,王夫人,3382
宝玉,老太太,2945
宝玉,黛玉,3162
宝玉,贾母,3577
宝玉,贾母笑,218
宝玉,探春,1186
宝玉,林姑娘,615
宝玉,小丫头,956
宝玉,雪雁,203
宝玉,迎春,298
宝玉,林黛玉,1321
宝玉,惜春,336
宝玉,宝钗,2639
宝玉,言语,463
宝玉,邢夫人,297
宝玉,冷笑,438
宝玉,周瑞家,116
宝玉,凤姐儿,443
宝玉,凤姐,1758
宝玉,尤氏,223
宝玉,薛姨妈,747
宝玉,和尚,597
宝玉,宝钗笑,281
宝玉,紫鹃,1385
宝玉,薛蟠,317
宝玉,明白,743
宝玉,老婆子,227
宝玉,贾芸,186
宝玉,贾政道,397
宝玉,贾环,280
宝玉,赵姨娘,162
宝玉,妙玉,467
宝玉,宝琴,261
宝玉,林之孝,228
贾政,贾珍,86
贾政,贾蓉,39
贾政,宝玉,1250
贾政,言语,87
贾政,薛蟠,41
贾政,宝钗,101
贾政,贾琏,281
贾政,王夫人,495
贾政,贾母,651
贾政,薛姨妈,77
贾政,黛玉,25
贾政,迎春,24
贾政,冷笑,32
贾政,林黛玉,14
贾政,尤氏,42
贾政,贾芸,35
贾政,邢夫人,110
贾政,凤姐,140
贾政,凤姐儿,17
贾政,林之孝,37
贾政,贾政道,420
贾政,老太太,370
贾政,探春,54
贾政,贾环,61
贾政,贾母笑,47
贾政,和尚,74
贾政,赵姨娘,30
贾政,惜春,29
贾政,林姑娘,24
贾政,明白,79
贾政,老婆子,12
贾政,小丫头,20
贾政,紫鹃,10
宝钗,薛蟠,237
宝钗,言语,107
宝钗,贾政,101
宝钗,王夫人,857
宝钗,薛姨妈,767
宝钗,贾母,828
宝钗,黛玉,753
宝钗,迎春,150
宝钗,贾珍,26
宝钗,林黛玉,253
宝钗,宝玉,2639
宝钗,探春,352
宝钗,惜春,95
宝钗,小丫头,169
宝钗,邢夫人,94
宝钗,周瑞家,35
宝钗,宝钗笑,236
宝钗,和尚,181
宝钗,老太太,623
宝钗,林姑娘,97
宝钗,冷笑,62
宝钗,凤姐,315
宝钗,尤氏,87
宝钗,贾琏,131
宝钗,贾环,73
宝钗,贾蓉,10
宝钗,明白,175
宝钗,贾母笑,28
宝钗,凤姐儿,121
宝钗,紫鹃,117
宝钗,雪雁,40
宝钗,赵姨娘,14
宝钗,老婆子,34
宝钗,妙玉,105
宝钗,宝琴,155
宝钗,林之孝,29
宝钗,金桂,108
宝钗,贾政道,16
凤姐,王夫人,1219
凤姐,冷笑,166
凤姐,周瑞家,315
凤姐,小丫头,391
凤姐,老太太,1295
凤姐,贾琏,1285
凤姐,凤姐儿,987
凤姐,贾蓉,183
凤姐,明白,286
凤姐,黛玉,264
凤姐,宝玉,1758
凤姐,林姑娘,89
凤姐,言语,245
凤姐,贾母,1706
凤姐,尤氏,243
凤姐,贾珍,121
凤姐,林黛玉,129
凤姐,邢夫人,332
凤姐,贾政,140
凤姐,迎春,159
凤姐,老婆子,111
凤姐,和尚,32
凤姐,薛姨妈,302
凤姐,宝钗,315
凤姐,贾环,74
凤姐,赵姨娘,128
凤姐,贾母笑,144
凤姐,宝钗笑,30
凤姐,贾芸,159
凤姐,紫鹃,88
凤姐,雪雁,28
凤姐,薛蟠,13
凤姐,贾政道,25
凤姐,探春,439
凤姐,惜春,166
凤姐,林之孝,92
凤姐,宝琴,56
凤姐,妙玉,15
探春,迎春,180
探春,惜春,154
探春,言语,56
探春,黛玉,519
