word, freq
贾宝玉,4054
贾母,2612
王熙凤,1703
林黛玉,1253
袭人,1140
王夫人,1011
薛宝钗,873
贾琏,709
贾政,684
平儿,637
薛姨妈,453
鸳鸯,431
晴雯,333
贾珍,309
邢夫人,284
紫鹃,273
尤氏,257
薛蟠,194
贾芸,175
周瑞家,170
贾迎春,144
贾蓉,143
林之孝,143
赵姨娘,132
和尚,118
贾环,107
老婆子,105
夏金桂,104
尤二姐,91
薛宝琴,89
小姐,87
秦钟,85
贾惜春,82
史湘云,82
妙玉,79
秋纹,79
雪雁,72
大老爷,64
冯紫英,58
那丫头,57
贾兰,57
秦氏,54
甄士隐,53
司棋,53
巧姐儿,52
那婆子,51
老嬷嬷,49
从小儿,47
王爷,46
邢王二,45
北静王,44
旺儿,44
贾府,43
赖大,43
玉钏儿,42
何曾,41
巧姐,41
金钏儿,39
荣国府,38
金陵,38
丰儿,38
祖宗,37
李嬷嬷,37
贾瑞,37
尤三姐,36
贾妃,36
包勇,36
甄宝玉,36
梅花,34
贾芹,33
贾家,32
贾蔷,32
李贵,31
蒋玉菡,30
安静,30
周瑞,30
张罗,30
孙子,30
薛家,29
桂花,29
小红,28
红玉,28
王善保,28
秋桐,27
李十儿,27
张华,26
王子腾,25
马道婆,25
贾雨村,24
水月庵,24
王仁,24
倪二,24
张道士,24
鲍二,24
王太医,23
李氏,22
金荣,22
齐全,22
柳湘莲,22
雪雁道,21
谢恩,21
邢岫烟,21
老先生,20
道谢,20
相公,20
李纹,20
春燕,20
陈设,19
金玉,19
宁可,19
帕子,19
莫若,18
齐备,18
邢大舅,18
那玉,17
明白人,17
代儒,17
小太监,17
胡闹,17
李宫裁,17
宗祠,16
水溶,16
尤老娘,16
王一贴,16
宝贝,15
云儿,15
翠墨,15
天亮,15
李婶娘,15
子孙,14
但凡,14
王府,14
古董,13
吴新登,13
天恩,13
赵嬷嬷,13
凤凰,13
小燕,13
赵堂官,13
林如海,12
青埂峰,12
那道人,12
祖母,12
周全,12
钱粮,12
宁荣二,12
孙女儿,12
贾敬,12
贾蔷道,12
贾珍便,12
贾政忙,12
太妃,12
向宝钗,12
赖尚荣,12
邢姑娘,12
贾政进,12
时宝钗,11
贾府中,11
贾母正,11
殷勤,11
贾蓉之,11
清香,11
呼唤,11
庄子,11
老世翁,11
薛大爷,11
阎王,11
玉宝钗,11
老妈妈,11
周姨娘,11
宝妹妹,11
赖嬷嬷,11
贺喜,11
兰哥儿,11
俞禄,11
兰儿,11
冷子兴,10
那僧,10
英莲,10
石青,10
小幺儿,10
贾菌,10
任凭,10
冯大爷,10
贾环见,10
贾政正,10
二叔叔,10
平姐姐,10
王大夫,10
贾珍贾,10
赵姨奶奶,10
小老婆,10
妙玉笑,10
贾琏贾,10
佩凤,10
夏家,10
秋菱,10
甄应嘉,10
云雨,9
芦雪庵,9
那僧道,9
子兴道,9
老爹,9
高明,9
贾蓉忙,9
张口,9
王法,9
詹光,9
别提,9
薛蟠自,9
贾瑞道,9
那道士,9
薛蟠笑,9
程日兴,9
诸公,9
贾政问,9
孔雀,9
栗子,9
孔子,9
依允,9
金刚,9
贾政叫,9
薛大哥,9
云丫头,9
贾政知,9
贾母薛,9
红梅,9
乌进孝,9
文武,9
林四娘,9
龙禁尉,8
金钏,8
秋爽斋,8
花柳,8
施礼,8
唐突,8
玉来,8
亦且,8
薛蟠见,8
贾宅,8
寻思,8
方笑,8
凤姑娘,8
西风,8
王妃,8
花香,8
尼姑,8
千秋,8
贾环便,8
山子石,8
卜世仁,8
宝钗进,8
红颜,8
托生,8
秋纹笑,8
宝钗姊妹,8
老公,8
张德辉,8
谢了恩,8
子儿,8
安逸,8
牛黄,8
张王氏,8
老伯,8
西平王,8
宝钗黛,7
杜撰,7
须眉,7
神瑛侍者,7
隆恩,7
斯文,7
宁荣,7
紫檀,7
银红,7
小爷,7
甄老爷,7
冯家,7
和黛玉,7
宁府中,7
贾珍之,7
宝叔,7
肯依,7
何名,7
荣华,7
周大娘,7
惜春笑,7
墨雨,7
贾门,7
冷汗,7
那秦钟,7
谢礼,7
白石,7
贾政叹,7
燕子,7
贾政命,7
小道士,7
红玉笑,7
贾母方,7
金麒麟,7
史官,7
宋嬷嬷,7
尤氏李,7
林大娘,7
甄夫人,7
荣宁,7
夏婆子,7
藏躲,7
孙绍祖,7
玉微微,7
詹光道,7
贾大人,7
倪家,7
贾兰道,7
曹雪芹,6
醉金刚,6
史太君,6
痴丫头,6
荣耀,6
美玉,6
那僧笑,6
通灵宝玉,6
荣国公,6
孙女,6
和睦,6
王公,6
冯渊,6
冯公子,6
贾母素,6
周姐姐,6
小姑子,6
小人儿,6
秦相公,6
小叔子,6
宝钗素,6
通灵玉,6
衣履,6
香怜,6
贾珍方,6
向贾珍,6
贾琮,6
宝珠,6
戴权,6
老三,6
富丽,6
有凤来仪,6
贾政心,6
秋风,6
孙行者,6
毛丫头,6
宝钗心,6
小性儿,6
封锁,6
年庚,6
宝石,6
齐声,6
凤哥儿,6
汤来,6
宋妈,6
寿星,6
小姑娘,6
千金小姐,6
黄汤,6
赖家,6
宝哥儿,6
向紫鹃,6
邢妹妹,6
柳嫂子,6
红香圃,6
尤老,6
隆儿,6
柳二爷,6
胡君荣,6
兰花,6
郎中,6
毛半仙,6
蒙圣恩,6
妙师父,6
王凤姐,5
柳絮,5
荣华富贵,5
贾氏,5
爱如珍宝,5
花园子,5
甄府,5
尚小,5
安郡王,5
秋香色,5
王老爷,5
薛公子,5
伏侍宝玉,5
侯门,5
刘氏,5
宝林,5
周嫂子,5
周旋,5
若迟,5
贾蓉笑,5
秦钟笑,5
醉汉,5
黛玉先,5
薛林,5
冷清,5
李贵忙,5
金氏,5
贾珍尤,5
柴胡,5
尤氏方,5
北静郡王,5
寿礼,5
诸如,5
闻听,5
